,userId,movieId,rating,timestamp
10,1,1371,2.5,1260759135
2,1,1061,3.0,1260759182
17,1,2455,2.5,1260759113
8,1,1339,3.5,1260759125
13,1,2105,4.0,1260759139
18,1,2968,1.0,1260759200
11,1,1405,1.0,1260759203
9,1,1343,2.0,1260759131
14,1,2150,3.0,1260759194
1,1,1029,3.0,1260759179
12,1,1953,4.0,1260759191
6,1,1287,2.0,1260759187
5,1,1263,2.0,1260759151
19,1,3671,3.0,1260759117
16,1,2294,2.0,1260759108
15,1,2193,2.0,1260759198
58,2,357,3.0,835355749
34,2,185,3.0,835355511
33,2,168,3.0,835355710
56,2,350,4.0,835355697
45,2,266,5.0,835355586
20,2,10,4.0,835355493
77,2,509,4.0,835355719
37,2,222,5.0,835355840
30,2,153,4.0,835355441
74,2,497,3.0,835355880
91,2,592,5.0,835355395
83,2,551,5.0,835355767
76,2,508,4.0,835355860
24,2,50,4.0,835355586
57,2,356,3.0,835355628
79,2,527,4.0,835355731
54,2,339,3.0,835355492
39,2,225,3.0,835355552
80,2,537,4.0,835356199
25,2,52,3.0,835356031
63,2,372,3.0,835356094
35,2,186,3.0,835355664
49,2,296,4.0,835355395
90,2,590,5.0,835355395
41,2,248,3.0,835355896
60,2,367,3.0,835355619
68,2,454,4.0,835355604
65,2,382,3.0,835356165
50,2,300,3.0,835355532
27,2,110,4.0,835355532
22,2,39,5.0,835355604
75,2,500,4.0,835355731
48,2,292,3.0,835355492
42,2,253,4.0,835355511
40,2,235,3.0,835355664
92,2,593,3.0,835355511
93,2,616,3.0,835355932
62,2,371,3.0,835355968
28,2,144,3.0,835356016
51,2,314,4.0,835356044
81,2,539,3.0,835355767
82,2,550,3.0,835356109
31,2,161,3.0,835355493
55,2,349,4.0,835355441
78,2,515,4.0,835355817
88,2,588,3.0,835355441
73,2,485,3.0,835355918
29,2,150,5.0,835355395
21,2,17,5.0,835355681
67,2,410,3.0,835355532
95,2,720,4.0,835355978
72,2,480,4.0,835355643
84,2,552,3.0,835355860
89,2,589,5.0,835355697
52,2,317,2.0,835355551
86,2,586,3.0,835355790
32,2,165,3.0,835355441
61,2,370,2.0,835355932
44,2,265,5.0,835355697
26,2,62,3.0,835355749
127,3,2762,3.5,1298922057
138,3,7361,3.0,1298922065
123,3,2513,3.0,1298861789
134,3,5349,3.0,1298923266
135,3,5669,3.5,1298862672
129,3,2858,4.0,1298921825
128,3,2841,4.0,1298861733
136,3,6377,3.0,1298922080
119,3,1721,4.5,1298923236
100,3,296,4.5,1298862418
144,3,50068,4.5,1298862467
110,3,736,3.5,1298932787
132,3,3510,4.0,1298861633
111,3,778,4.0,1298863157
107,3,592,3.0,1298923247
126,3,2716,3.0,1298924017
124,3,2694,3.0,1298862710
102,3,355,2.5,1298861589
120,3,1884,4.0,1298863143
112,3,866,3.0,1298861687
98,3,247,3.5,1298861637
125,3,2702,3.5,1298861796
101,3,318,5.0,1298862121
106,3,588,3.0,1298922100
109,3,595,2.0,1298923260
103,3,356,5.0,1298862167
130,3,2959,5.0,1298862874
141,3,27369,3.5,1298862555
122,3,2318,4.0,1298861753
142,3,44191,3.5,1298932740
108,3,593,3.0,1298921840
131,3,3243,3.0,1298861968
146,3,84236,4.0,1298922130
96,3,60,3.0,1298861675
140,3,8636,3.0,1298932766
99,3,267,3.0,1298861761
118,3,1580,3.5,1298922089
143,3,48783,4.5,1298862361
105,3,527,3.0,1298862528
145,3,58559,3.0,1298922071
204,4,1198,5.0,949779173
315,4,2734,4.0,949778714
152,4,173,3.0,949811346
244,4,1580,5.0,949919978
294,4,2194,5.0,949918764
238,4,1377,3.0,949810688
240,4,1387,5.0,949810261
241,4,1388,4.0,949810302
339,4,3071,4.0,949918715
346,4,3251,5.0,949918970
316,4,2770,1.0,949896521
237,4,1376,3.0,949918904
331,4,2986,3.0,949896015
284,4,2114,5.0,949918927
177,4,596,5.0,949949638
234,4,1371,4.0,949810302
222,4,1270,5.0,949811523
349,4,3265,5.0,949895732
201,4,1194,5.0,949919419
199,4,1127,5.0,949896275
327,4,2903,1.0,949896309
264,4,2021,4.0,949896114
300,4,2371,4.0,949811603
254,4,1967,3.0,949949538
190,4,1031,5.0,949896377
301,4,2403,4.0,949918994
323,4,2867,3.0,949918875
304,4,2454,5.0,949982274
165,4,431,3.0,949895772
250,4,1918,2.0,949895956
348,4,3263,3.0,949919845
176,4,594,5.0,949949538
151,4,153,4.0,949811346
207,4,1208,5.0,949779173
261,4,2014,4.0,949919454
202,4,1196,5.0,949779173
184,4,919,5.0,949949396
212,4,1220,5.0,949811523
227,4,1291,5.0,949918743
320,4,2797,5.0,949896070
298,4,2289,5.0,949919556
306,4,2551,4.0,949896275
156,4,296,5.0,949895708
149,4,112,5.0,949810582
279,4,2100,5.0,949896114
231,4,1334,5.0,949982274
229,4,1307,4.0,949811602
245,4,1663,4.0,949811559
